participant_id,video_id,recording_elegible,cam_allowed,azure_features,video_error,duration_recording,survey_duration,pre_quiz1,pre_quiz2,post_quiz1,post_quiz2,post_quiz3,post_quiz4,post_quiz5,post_quiz6,post_quiz7,post_quiz8,self_interest,self_boring,self_confusion,self_easy,demo_age,demo_gender,demo_race,demo_ethnicity,demo_marital_status,demo_education,demo_income,demo_employment,demo_industry,demo_country,demo_region,correct,correct_pre_quiz,correct_post_quiz,self_raw_anger,self_raw_contempt,self_raw_disgust,self_raw_fear,self_raw_happiness,self_raw_neutral,self_raw_sadness,self_raw_surprise,reported_emotions
5391298,13201,0,0.0,0.0,0,,767,a,d,b,b,b,a,b,b,a,c,6,2,6,1,e,a,g,c,b,e,g,g,k,US,c,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5202198,13201,0,0.0,0.0,0,,536,a,c,b,d,b,a,b,a,d,b,3,5,5,3,b,b,c,b,a,d,a,e,G,US,b,10,2,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
415738,13201,0,0.0,0.0,0,,665,a,c,b,b,b,a,b,b,b,a,4,5,6,3,a,a,c,b,a,e,h,b,l,US,b,6,2,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8137098,13201,0,0.0,0.0,0,,1137,d,c,b,c,b,a,d,b,d,d,6,3,2,6,a,a,c,b,a,e,a,e,k,US,b,5,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3651718,13201,0,0.0,0.0,0,,318,a,c,b,b,b,a,d,a,d,b,4,4,4,4,b,a,g,c,a,e,c,e,G,--,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1221298,13201,0,0.0,0.0,0,,1532,a,c,b,a,b,a,b,a,b,a,2,5,5,3,b,b,f,a,a,d,a,e,G,US,b,7,2,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2116078,13201,0,0.0,0.0,0,,781,a,a,c,c,b,a,d,c,d,b,6,2,6,1,a,a,d,a,a,d,b,e,h,US,e,5,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
6089918,13201,0,0.0,0.0,0,,916,a,a,b,b,b,a,b,a,d,b,6,2,3,3,b,a,c,b,b,d,g,e,G,US,b,8,1,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4043618,13201,0,0.0,0.0,0,,522,a,c,b,b,b,b,b,a,d,b,2,7,4,2,b,a,c,b,a,d,h,b,h,US,b,8,2,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5551218,13201,0,0.0,0.0,0,,475,a,c,b,b,b,a,d,a,d,a,7,1,1,7,a,b,c,b,a,e,g,e,a,US,a,7,2,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7962718,13201,0,0.0,0.0,0,,6048,a,c,b,d,b,a,b,a,a,a,7,1,1,7,b,a,c,b,a,d,d,a,h,IN,f,8,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
2327938,13201,0,0.0,0.0,0,,489,d,b,d,c,c,d,b,c,c,b,7,7,7,7,b,a,c,b,a,e,c,a,a,IN,f,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7774758,13201,0,0.0,0.0,0,,270,b,b,c,b,c,b,b,b,b,b,5,6,5,4,e,c,f,b,c,b,b,g,a,CA,d,2,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7950082,18377,0,0.0,0.0,0,,719,a,b,b,b,b,a,c,a,b,c,4,4,3,6,b,b,c,c,a,d,g,e,r,US,b,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2226942,18377,0,0.0,0.0,0,,961,a,a,c,b,b,a,d,b,d,b,3,5,6,2,b,a,a,b,a,d,g,g,m,US,c,5,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4261322,18377,0,0.0,0.0,0,,852,a,c,b,a,a,c,d,a,d,b,5,4,2,3,b,b,g,c,a,d,a,e,n,TH,f,6,2,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9898922,18377,0,0.0,0.0,0,,657,b,b,b,d,c,b,d,a,d,b,7,2,2,7,b,a,c,b,a,e,d,a,r,US,e,5,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
6451742,18377,0,0.0,0.0,0,,5493,a,c,b,c,b,d,b,a,c,c,6,2,5,3,a,a,c,b,a,b,h,b,k,--,e,6,2,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1335142,18377,0,0.0,0.0,0,,724,a,c,b,b,b,a,b,a,b,b,7,1,1,7,b,a,c,b,a,e,g,e,n,00,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1954182,18377,0,0.0,0.0,0,,436,a,c,b,b,d,a,d,b,c,d,4,5,1,6,c,d,g,c,f,d,h,e,B,CN,f,4,2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4738202,18377,0,0.0,0.0,0,,794,a,a,b,b,b,a,b,a,a,b,5,2,3,5,a,a,c,b,a,d,c,e,l,US,b,7,1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4686582,18377,0,0.0,0.0,0,,818,a,b,b,a,b,a,d,a,b,b,6,2,3,5,b,b,c,b,a,d,g,e,k,US,b,6,1,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
