,participant_id,video_id,recording_elegible,cam_allowed,survey_duration,demo_gender,demo_race,correct_pre_quiz,correct_post_quiz,pre_quiz_all_correct,well_recorded
0,5391298,13201,0,0.0,767,a,g,1,4,0,0
1,5202198,13201,0,0.0,536,b,c,2,8,1,0
2,415738,13201,0,0.0,665,a,c,2,4,1,0
3,8137098,13201,0,0.0,1137,a,c,1,4,0,0
4,3651718,13201,0,0.0,318,a,g,2,6,1,0
5,1221298,13201,0,0.0,1532,b,f,2,5,1,0
6,2116078,13201,0,0.0,781,a,d,1,4,0,0
7,6089918,13201,0,0.0,916,a,c,1,7,0,0
8,4043618,13201,0,0.0,522,a,c,2,6,1,0
9,5551218,13201,0,0.0,475,b,c,2,5,1,0
10,7962718,13201,0,0.0,6048,a,c,2,6,1,0
11,2327938,13201,0,0.0,489,a,c,0,2,0,0
12,7774758,13201,0,0.0,270,c,f,0,2,0,0
13,7950082,18377,0,0.0,719,b,c,1,4,0,0
14,2226942,18377,0,0.0,961,a,a,1,4,0,0
15,4261322,18377,0,0.0,852,b,g,2,4,1,0
16,9898922,18377,0,0.0,657,a,c,0,5,0,0
17,6451742,18377,0,0.0,5493,a,c,2,4,1,0
18,1335142,18377,0,0.0,724,a,c,2,6,1,0
19,1954182,18377,0,0.0,436,d,g,2,2,1,0
20,4738202,18377,0,0.0,794,a,c,1,6,0,0
21,4686582,18377,0,0.0,818,b,c,1,5,0,0
22,652322,18377,0,0.0,532,b,a,0,4,0,0
23,58262,18377,0,0.0,692,a,g,0,2,0,0
24,2002162,18377,0,0.0,962,b,b,1,4,0,0
25,6550562,18377,0,0.0,594,b,c,2,6,1,0
26,2811222,18377,0,0.0,692,a,c,2,7,1,0
27,7806562,18377,0,0.0,640,a,c,2,5,1,0
28,8044482,18377,0,0.0,633,b,c,1,3,0,0
29,8468079,20965,1,0.0,767,b,c,2,3,1,0
30,272159,20965,1,1.0,1133,b,c,1,5,0,0
31,1994999,20965,1,1.0,624,a,c,1,6,0,0
32,8963619,20965,1,1.0,510,b,c,0,2,0,1
33,146359,20965,1,1.0,520,a,c,1,3,0,1
34,7136879,20965,1,1.0,422,b,c,1,7,0,1
35,3592299,20965,1,1.0,806,b,c,0,7,0,1
36,3167099,20965,1,1.0,864,b,c,1,4,0,1
37,2835499,20965,1,1.0,425,a,c,0,1,0,1
38,9745059,20965,1,1.0,408,c,e,1,0,0,0
39,9265031,18990,1,1.0,690,b,c,2,5,1,0
40,527031,18990,1,1.0,693,a,c,2,7,1,1
41,4062771,18990,1,1.0,598,b,c,1,8,0,1
42,5416411,18990,1,1.0,566,b,c,2,8,1,1
43,2850511,18990,1,0.0,1961,b,c,1,2,0,0
44,560671,18990,1,1.0,851,a,c,1,5,0,1
45,6173231,18990,1,0.0,658,b,f,2,6,1,0
46,989391,18990,1,1.0,1067,a,c,1,7,0,0
47,6949280,27980,0,0.0,863,a,c,1,7,0,0
48,4492640,27980,0,0.0,675,a,c,2,5,1,0
49,1445360,27980,0,0.0,777,a,c,2,7,1,0
50,6838560,27980,0,0.0,600,a,c,2,6,1,0
51,1019620,27980,0,0.0,741,a,c,2,7,1,0
52,3906960,27980,0,0.0,725,a,c,2,3,1,0
53,638920,27980,0,0.0,704,a,c,1,6,0,0
54,8614580,27980,0,0.0,445,a,c,1,2,0,0
55,4060800,27980,0,0.0,600,b,c,2,6,1,0
56,1504220,27980,0,0.0,531,d,c,0,1,0,0
57,3459480,27980,0,0.0,924,a,c,1,7,0,0
58,9549680,27980,0,0.0,823,b,c,1,3,0,0
59,7990820,27980,0,0.0,740,a,c,1,4,0,0
60,3126140,27980,0,0.0,558,a,c,2,6,1,0
61,6039820,27980,0,0.0,872,a,g,0,1,0,0
62,980600,27980,0,0.0,831,b,c,2,4,1,0
63,7577844,13950,0,0.0,709,a,a,2,7,1,0
64,696584,13950,0,0.0,625,a,c,1,6,0,0
65,9457124,13950,0,0.0,717,a,c,1,5,0,0
66,5698884,13950,0,0.0,1657,a,c,0,5,0,0
67,9046324,13950,0,0.0,850,a,c,1,7,0,0
68,4140124,13950,0,0.0,554,a,c,2,7,1,0
69,9669204,13950,0,0.0,739,b,b,1,6,0,0
70,3419924,13950,0,0.0,717,b,b,0,1,0,0
71,6288244,13950,0,0.0,538,d,g,0,1,0,0
72,9062664,13950,0,0.0,1064,a,a,2,5,1,0
73,3736984,13950,0,0.0,556,b,c,2,6,1,0
74,4860684,13950,0,0.0,807,b,c,2,6,1,0
75,5549004,13950,0,0.0,544,b,c,2,4,1,0
76,6415564,13950,0,0.0,627,a,c,0,3,0,0
77,5182304,13950,0,0.0,1708,b,c,1,4,0,0
78,2252376,19603,0,0.0,793,b,c,2,6,1,0
79,1323076,19603,0,0.0,531,a,c,2,3,1,0
80,3145356,19603,0,0.0,867,a,c,2,6,1,0
81,2314336,19603,0,0.0,867,a,c,1,7,0,0
82,3305696,19603,0,0.0,929,a,c,1,4,0,0
83,37696,19603,0,0.0,2690,b,c,2,7,1,0
84,8997796,19603,0,0.0,534,b,c,2,6,1,0
85,8838056,19603,0,0.0,621,a,c,2,7,1,0
86,1345216,19603,0,0.0,1341,a,c,2,4,1,0
87,2365930,22804,0,0.0,842,a,c,1,4,0,0
88,8757990,22804,0,0.0,1062,b,c,2,5,1,0
89,6326950,22804,0,0.0,627,a,c,1,2,0,0
90,3154150,22804,0,0.0,437,b,c,1,4,0,0
91,8772530,22804,0,0.0,2197,a,c,1,6,0,0
92,2409510,22804,0,0.0,2203,b,c,2,6,1,0
93,1228830,22804,0,0.0,996,a,c,2,7,1,0
94,9355890,22804,0,0.0,733,a,c,1,5,0,0
95,4222730,22804,0,0.0,905,b,c,2,5,1,0
96,743770,22804,0,0.0,491,d,g,1,4,0,0
97,1995910,22804,0,0.0,574,d,g,0,3,0,0
98,923230,22804,0,0.0,56994,b,c,0,5,0,0
99,3786510,22804,0,0.0,527,b,c,1,3,0,0
100,1411967,12588,1,1.0,954,b,c,1,4,0,0
101,611187,12588,1,0.0,615,a,c,1,6,0,0
102,1243887,12588,1,1.0,621,a,c,1,5,0,0
103,2671527,12588,1,0.0,3376,a,c,1,5,0,0
104,5918787,12588,1,1.0,662,a,c,2,4,1,0
105,6366247,12588,1,0.0,1288,a,c,1,2,0,0
106,3561187,12588,1,1.0,636,d,a,0,5,0,1
107,2268427,12588,1,1.0,403,a,c,1,0,0,1
108,7188007,12588,1,1.0,808,a,c,1,4,0,1
109,9532547,12588,1,0.0,837,a,b,1,5,0,0
110,1118867,12588,1,1.0,1161,d,g,0,5,0,1
111,4609667,12588,1,1.0,710,b,a,2,4,1,0
112,9038987,12588,1,1.0,521,b,c,2,5,1,1
113,2957674,29206,0,0.0,596,a,c,2,5,1,0
114,8948294,29206,0,0.0,143,b,c,1,4,0,0
115,8131934,29206,0,0.0,872,b,c,2,6,1,0
